name,L,pip,pim
AMD+JAM,55,0.0978,0.339
AMD+JAM,82,0.0963,0.329
AMD+JAM,152,0.0986,0.311
r'$\chi \text{BUU}$',45.6,0.109,0.509
r'$\chi \text{BUU}$',120,0.117,0.483
UrQMD,46,0.129,0.479
UrQMD,81,0.131,0.46
UrQMD,104,0.133,0.449
IQMD-BNU,54.6,0.147585,0.541845
IQMD-BNU,84.6,0.140505,0.47485
IQMD-BNU,144.6,0.153115,0.45182
SMASH,55,0.167683,0.468108
SMASH,82,0.165438,0.475541
SMASH,152,0.163444,0.479238
TuQMD,54.6,0.145,0.779
TuQMD,84.6,0.14,0.811
TuQMD,144.6,0.145,0.839
pBUU,56.1,0.180926,0.697894
pBUU,134.8,0.184616,0.648582