code,code_name,ratio,error,n_z
AMD+JAM,AMD+JAM,3.310207942,0.1560497269,1.56
chiBUU,r'$\chi \text{BUU}$',4.398964949,0.2707598212,1.56
UrQMD,UrQMD,3.544559072,0.1686192225,1.56
IQMD-BNU,IQMD-BNU,3.311131815,0.3602778814,1.56
SMASH,SMASH,2.861874107,0.07024943402,1.56
TuQMD,TuQMD,5.579310345,0.2068965517,1.56
pBUU,pBUU,3.685242891,0.1721021012,1.56
data,data,4.84438,0.1199,1.56
AMD+JAM,AMD+JAM,1.689655172,0.03448275862,1.2
chiBUU,r'$\chiBUU$,1.971588486,0.03587420043,1.2
UrQMD,UrQMD,1.945861678,0.08191609977,1.2
IQMD-BNU,IQMD-BNU,1.744139854,0.07872170139,1.2
SMASH,SMASH,1.530720116,0.01903215935,1.2
TuQMD,TuQMD,2.565074083,0.05371044701,1.2
pBUU,pBUU,1.85439547,0.02398575865,1.2
data,data,1.9993,0.04948,1.2
UrQMD,UrQMD,2.494187985,0.01778913306,1.36
TuQMD,TuQMD,3.697499921,0.1265229365,1.36
pBUU,pBUU,2.565698329,0.08066473992,1.36
data,data,3.1057,0.2404,1.36
data,data,3.0921,0.0708,1.36